x y Bx By
10.600000 -0.700000 0.000012 0.000188
10.600000 -0.600000 0.000011 0.000188
10.600000 -0.500000 0.000009 0.000188
10.600000 -0.400000 0.000007 0.000188
10.600000 -0.300000 0.000005 0.000189
10.600000 -0.200000 0.000003 0.000188
10.600000 -0.100000 0.000002 0.000188
10.600000 -0.000000 -0.000000 0.000188
10.600000 0.100000 -0.000002 0.000188
10.600000 0.200000 -0.000003 0.000188
10.600000 0.300000 -0.000005 0.000188
10.600000 0.400000 -0.000007 0.000188
10.600000 0.500000 -0.000009 0.000188
10.600000 0.600000 -0.000011 0.000187
10.600000 0.700000 -0.000012 0.000187
10.600000 0.800000 -0.000014 0.000187
10.600000 0.900000 -0.000016 0.000187
10.600000 1.000000 -0.000018 0.000187
10.700000 -1.000000 0.000017 0.000185
10.700000 -0.900000 0.000015 0.000185
10.700000 -0.800000 0.000014 0.000186
10.700000 -0.700000 0.000012 0.000186
10.700000 -0.600000 0.000010 0.000186
10.700000 -0.500000 0.000009 0.000186
10.700000 -0.400000 0.000007 0.000186
10.700000 -0.300000 0.000005 0.000187
10.700000 -0.200000 0.000003 0.000187
10.700000 -0.100000 0.000001 0.000187
10.700000 -0.000000 -0.000000 0.000186
10.700000 0.100000 -0.000002 0.000187
10.700000 0.200000 -0.000003 0.000187
10.700000 0.300000 -0.000005 0.000187
10.700000 0.400000 -0.000007 0.000187
10.700000 0.500000 -0.000008 0.000186
10.700000 0.600000 -0.000010 0.000186
10.700000 0.700000 -0.000012 0.000186
10.700000 0.800000 -0.000014 0.000185
10.700000 0.900000 -0.000016 0.000185
10.700000 1.000000 -0.000017 0.000185
10.800000 -1.000000 0.000017 0.000187
10.800000 -0.900000 0.000015 0.000185
10.800000 -0.800000 0.000013 0.000184
10.800000 -0.700000 0.000012 0.000184
10.800000 -0.600000 0.000011 0.000187
10.800000 -0.500000 0.000010 0.000193
10.800000 -0.400000 0.000006 0.000191
10.800000 -0.300000 0.000005 0.000186
10.800000 -0.200000 0.000003 0.000190
10.800000 -0.100000 0.000001 0.000194
10.800000 -0.000000 0.000000 0.000190
10.800000 0.100000 -0.000002 0.000185
10.800000 0.200000 -0.000004 0.000185
10.800000 0.300000 -0.000005 0.000185
10.800000 0.400000 -0.000006 0.000185
10.800000 0.500000 -0.000008 0.000187
10.800000 0.600000 -0.000011 0.000193
10.800000 0.700000 -0.000012 0.000194
10.800000 0.800000 -0.000014 0.000189
10.800000 0.900000 -0.000016 0.000186
10.800000 1.000000 -0.000018 0.000186
10.900000 -1.000000 0.000019 0.000197
10.900000 -0.900000 0.000017 0.000195
10.900000 -0.800000 0.000013 0.000194
10.900000 -0.700000 0.000012 0.000193
10.900000 -0.600000 0.000012 0.000194
10.900000 -0.500000 0.000010 0.000198
10.900000 -0.400000 0.000006 0.000198
10.900000 -0.300000 0.000004 0.000195
10.900000 -0.200000 0.000003 0.000198
10.900000 -0.100000 0.000002 0.000200
10.900000 -0.000000 0.000001 0.000198
10.900000 0.100000 -0.000001 0.000194
10.900000 0.200000 -0.000003 0.000192
10.900000 0.300000 -0.000006 0.000192
10.900000 0.400000 -0.000008 0.000193
10.900000 0.500000 -0.000009 0.000196
10.900000 0.600000 -0.000012 0.000201
10.900000 0.700000 -0.000012 0.000201
10.900000 0.800000 -0.000013 0.000197
10.900000 0.900000 -0.000017 0.000196
10.900000 1.000000 -0.000020 0.000196
11.000000 -1.000000 0.000021 0.000213
11.000000 -0.900000 0.000018 0.000212
11.000000 -0.800000 0.000014 0.000209
11.000000 -0.700000 0.000013 0.000207
11.000000 -0.600000 0.000013 0.000206
11.000000 -0.500000 0.000010 0.000206
11.000000 -0.400000 0.000005 0.000205
11.000000 -0.300000 0.000004 0.000206
11.000000 -0.200000 0.000002 0.000207
11.000000 -0.100000 0.000002 0.000207
11.000000 -0.000000 0.000001 0.000207
11.000000 0.100000 -0.000000 0.000204
11.000000 0.200000 -0.000002 0.000202
11.000000 0.300000 -0.000006 0.000202
11.000000 0.400000 -0.000009 0.000203
11.000000 0.500000 -0.000011 0.000208
11.000000 0.600000 -0.000012 0.000211
11.000000 0.700000 -0.000012 0.000211
11.000000 0.800000 -0.000013 0.000212
11.000000 0.900000 -0.000018 0.000212
11.000000 1.000000 -0.000021 0.000213
