i,eV,x_0,y_0,z_0,v_x,v_y,v_z,hit_p
201,4.140093e+01,-3.809684,-2.313621,-6.643303,5.001884e+03,3.037644e+03,8.722254e+03,1.006086e+00
202,4.140093e+01,7.203019,-2.858607,-1.986172,-9.457128e+03,3.753178e+03,2.607724e+03,1.006086e+00
203,4.156444e+01,3.286179,-3.055602,6.623015,-4.323066e+03,4.019734e+03,-8.712772e+03,1.006086e+00
204,4.156444e+01,-0.352280,-1.780937,7.791288,4.634344e+02,2.342876e+03,-1.024967e+04,1.006086e+00
205,4.156444e+01,1.615382,-1.535002,7.683379,-2.125083e+03,2.019341e+03,-1.010771e+04,1.006086e+00
206,4.156444e+01,-5.913534,3.407758,-4.173404,7.779429e+03,-4.483007e+03,5.490237e+03,1.006086e+00
207,4.198380e+01,2.046017,-4.891914,-5.990241,-2.705140e+03,6.467842e+03,7.919993e+03,1.006086e+00
208,4.198380e+01,6.362149,-4.838131,0.339926,-8.411712e+03,6.396732e+03,-4.494330e+02,1.006086e+00
209,4.198380e+01,-4.775571,4.628750,-4.446190,6.314018e+03,-6.119899e+03,5.878527e+03,1.006086e+00
210,4.224011e+01,7.068539,3.704118,0.561486,-9.374148e+03,-4.912324e+03,-7.446316e+02,1.006086e+00
211,4.224011e+01,0.045545,0.603886,-7.977045,-6.040038e+01,-8.008616e+02,1.057899e+04,1.006086e+00
212,4.224011e+01,-3.043305,-6.595860,3.351557,4.035967e+03,8.747291e+03,-4.444765e+03,1.006086e+00
213,4.240526e+01,0.502892,-1.760744,7.787611,-6.682275e+02,2.339623e+03,-1.034794e+04,1.006086e+00
214,4.240526e+01,-7.958959,0.809253,0.008612,1.057562e+04,-1.075310e+03,-1.144365e+01,1.006086e+00
215,4.240526e+01,3.235410,-1.452446,7.170950,-4.299113e+03,1.929966e+03,-9.528537e+03,1.006086e+00
216,4.266285e+01,6.713295,3.708374,2.275879,-8.947473e+03,-4.942517e+03,-3.033289e+03,1.006086e+00
217,4.266285e+01,4.538790,-1.069774,6.500382,-6.049294e+03,1.425793e+03,-8.663702e+03,1.006086e+00
218,4.266285e+01,2.573490,7.336695,-1.884157,-3.429945e+03,-9.778339e+03,2.511202e+03,1.006086e+00
219,4.308771e+01,-6.288199,-3.754896,3.218589,8.422531e+03,5.029378e+03,-4.311038e+03,1.006086e+00
220,4.308771e+01,-2.914532,-2.121245,7.141836,3.903779e+03,2.841235e+03,-9.565908e+03,1.006086e+00
221,4.308771e+01,7.626264,-0.220451,2.406555,-1.021476e+04,2.952766e+02,-3.223384e+03,1.006086e+00
222,4.334736e+01,3.124006,-6.690369,3.078888,-4.196940e+03,8.988165e+03,-4.136327e+03,1.006086e+00
223,4.334736e+01,-7.109834,0.908231,-3.553221,9.551695e+03,-1.220161e+03,4.773569e+03,1.006086e+00
224,4.334736e+01,2.187449,-6.873847,3.459088,-2.938725e+03,9.234658e+03,-4.647107e+03,1.006086e+00
225,4.334736e+01,-1.777196,3.035171,7.185354,2.387571e+03,-4.077595e+03,-9.653152e+03,1.006086e+00
226,4.351466e+01,-3.334252,-5.791020,4.398506,4.488031e+03,7.794935e+03,-5.920558e+03,1.006086e+00
227,4.351466e+01,-1.576694,-1.179938,-7.753824,2.122291e+03,1.588242e+03,1.043694e+04,1.006086e+00
228,4.351466e+01,-5.870558,-0.611979,5.400188,7.901996e+03,8.237474e+02,-7.268861e+03,1.006086e+00
229,4.377559e+01,3.660068,-6.310564,-3.283395,-4.941341e+03,8.519691e+03,4.432807e+03,1.006086e+00
230,4.377559e+01,-3.632833,0.980451,7.059833,4.904572e+03,-1.323676e+03,-9.531255e+03,1.006086e+00
