i,eV,x_0,y_0,z_0,v_x,v_y,v_z,hit_p
136,3.251654e+01,-3.623317,6.871674,-1.910933,1.115443e+04,-2.115453e+04,5.882829e+03,1.006086e+00
137,3.265653e+01,0.335329,-6.466532,-4.698034,-1.034534e+03,1.995010e+04,1.449405e+04,1.006086e+00
138,3.274190e+01,6.667964,-2.873476,3.358778,-2.059842e+04,8.876631e+03,-1.037581e+04,1.006086e+00
139,3.279682e+01,-5.267370,1.527715,5.824165,1.628540e+04,-4.723314e+03,-1.800687e+04,1.006086e+00
140,3.302315e+01,-5.566107,2.988485,4.907893,1.726830e+04,-9.271478e+03,-1.522625e+04,1.006086e+00
141,3.302315e+01,1.670856,7.793192,-0.688766,-5.183665e+03,-2.417761e+04,2.136828e+03,1.006086e+00
142,3.307831e+01,4.123892,-4.758839,-4.934265,-1.280465e+04,1.477615e+04,1.532085e+04,1.006086e+00
143,3.321951e+01,-5.880614,5.329272,1.008581,1.829818e+04,-1.658262e+04,-3.138311e+03,1.006086e+00
144,3.350654e+01,0.022812,-0.077874,7.999588,-7.128745e+01,2.433592e+02,-2.499891e+04,1.006086e+00
145,3.359301e+01,-2.262729,-3.809050,6.661171,7.080204e+03,1.191873e+04,-2.084317e+04,1.006086e+00
146,3.373530e+01,0.898578,1.006916,-7.885346,-2.817647e+03,-3.157360e+03,2.472588e+04,1.006086e+00
147,3.402078e+01,-5.581992,-4.386361,3.687981,1.757721e+04,1.381227e+04,-1.161313e+04,1.006086e+00
148,3.416397e+01,-3.970780,-0.241261,-6.940799,1.252993e+04,7.613066e+02,2.190193e+04,1.006086e+00
149,3.445125e+01,-3.505684,6.430856,-3.217805,1.110872e+04,-2.037793e+04,1.019650e+04,1.006086e+00
150,3.459534e+01,5.165588,1.375553,-5.951853,-1.640277e+04,-4.367922e+03,1.889947e+04,1.006086e+00
151,3.468321e+01,-5.071835,-0.618175,6.155839,1.612551e+04,1.965440e+03,-1.957202e+04,1.006086e+00
